category,field,data_type,always_present,present_on_events,description,example,vectorization_approach,use_in_vector,use_in_metadata
session_payload,org_id,string,yes,all,Merchant organisation ID,org_3bq2jCKKsVv6,not_used,no,yes
session_payload,client_id,string,yes,all,Persistent browser identity stored in localStorage — survives sessions. Used as lookup key for prior_session_count enrichment — not encoded directly as a feature,3e0c8efb-4c46-46ab-987f-3b2650ba1e36,not_used,no,yes
session_payload,session_id,string,yes,all,Per-tab session identity stored in sessionStorage — new on each tab/reload,4e83d9c7-6b43-46d5-b08c-39826bd2e4e5,not_used,no,yes
session_payload,trace_id,string,yes,all,Unique flush identifier — {session_id}_{flushCounter}_{timestamp},4e83d9c7_2_1773521934657,not_used,no,yes
session_payload,is_touch,int,yes,all,Whether the device supports touch — 1 or 0,1,binary,yes,no
session_payload,browser_timezone,string,yes,all,IANA timezone from browser Intl API,Asia/Karachi,not_used,no,no
session_payload,viewport_w_norm,float,yes,all,Viewport width normalised to 2560px — value between 0 and 1,0.156,passthrough,yes,no
session_payload,viewport_h_norm,float,yes,all,Viewport height normalised to 1440px — value between 0 and 1,0.563,passthrough,yes,no
session_payload,is_paid,int,yes,all,Whether session originated from a paid channel — 1 or 0,1,binary,yes,yes
session_payload,session_source,string,yes,all,Traffic source platform — meta / google / direct / klaviyo etc.,meta,not_used,no,yes
session_payload,session_medium,string,yes,all,Normalised traffic channel — paid_social / paid_search / organic_social / email / direct etc.,paid_social,djb2_hash_norm,yes,yes
session_payload,device_pixel_ratio,float,yes,all,Window devicePixelRatio — typically 1 / 1.5 / 2 / 3,2.4375,divide_by_4,yes,no
session_payload,click_id_type,string,yes,all,Ad click ID parameter found in URL — fbclid / gclid / ttclid / none etc.,fbclid,learned_embedding_dim8,yes,yes
session_payload,time_to_first_interaction_ms,int|null,yes,all,Milliseconds from page load to first user interaction (scroll / click / touch / keydown) — null if user never interacted (bounce),8229,divide_by_30000,yes,no
enrichment,received_at,int,yes,all,Unix timestamp in milliseconds when edge worker received the flush,1773521919315,not_used,no,yes
enrichment,hostname,string,yes,all,Hostname extracted from Origin or Referer header,sukoonfit.com,not_used,no,yes
enrichment,prior_session_count,int,yes,all,Number of prior sessions for this client_id looked up from Redis (key: metricade_client_sessions:{org_id}:{client_id}) — 0 on first visit injected by edge worker before publishing to stream,3,log1p_norm,yes,no
